type,sugar
BABYFOOD,57.4
BABYFOOD,0
BABYFOOD,0
BABYFOOD,0
BABYFOOD,0
BABYFOOD,0
BABYFOOD,0
BABYFOOD,0
BABYFOOD,0
BABYFOOD,0
BABYFOOD,0
BABYFOOD,1.4
BABYFOOD,0
BABYFOOD,0
BABYFOOD,1.4
BABYFOOD,68.65
BABYFOOD,0.8
BABYFOOD,9.09
BABYFOOD,17.84
BABYFOOD,0
BABYFOOD,10.18
BABYFOOD,9.78
BABYFOOD,0
BABYFOOD,0
BABYFOOD,0
BABYFOOD,2.09
BABYFOOD,2.43
BABYFOOD,0.59
BABYFOOD,1.42
BABYFOOD,0.79
BABYFOOD,0
BABYFOOD,2.72
BABYFOOD,
BABYFOOD,1.39
BABYFOOD,2.34
BABYFOOD,2.34
BABYFOOD,2.16
BABYFOOD,1.77
BABYFOOD,1.37
BABYFOOD,0.99
BABYFOOD,0.94
BABYFOOD,0.94
BABYFOOD,2.5
BABYFOOD,1.07
BABYFOOD,1.72
BABYFOOD,1.68
BABYFOOD,1.58
BABYFOOD,
BABYFOOD,
BABYFOOD,1.2
BABYFOOD,
BABYFOOD,
BABYFOOD,1.66
BABYFOOD,1.25
BABYFOOD,1.54
BABYFOOD,1.36
BABYFOOD,1.27
BABYFOOD,1.32
BABYFOOD,1.88
BABYFOOD,1.08
BABYFOOD,1.06
BABYFOOD,2.35
BABYFOOD,6.09
BABYFOOD,3.64
BABYFOOD,3.16
BABYFOOD,3.37
BABYFOOD,3.24
BABYFOOD,4.05
BABYFOOD,4.24
BABYFOOD,0.91
BABYFOOD,2.93
BABYFOOD,10.83
BABYFOOD,9.87
BABYFOOD,8.48
BABYFOOD,1.41
BABYFOOD,1.23
BABYFOOD,1.48
BABYFOOD,2.01
BABYFOOD,4.13
BABYFOOD,2.33
BABYFOOD,1.4
BABYFOOD,0.38
BABYFOOD,11.5
BABYFOOD,11.5
BABYFOOD,6.98
BABYFOOD,7.34
BABYFOOD,13.34
BABYFOOD,13.64
BABYFOOD,10.97
BABYFOOD,10.97
BABYFOOD,14.28
BABYFOOD,13
