Keyword,FA_Sat
ANIMAL FAT,51.368
ANIMAL FAT,45.39
ANIMAL FAT,50.489
ANIMAL FAT,49.8
ANIMAL FAT,29.8
ANIMAL FAT,33.2
ANIMAL FAT,29.4
ANIMAL FAT,27.7
ANIMAL FAT,34.321
ANIMAL FAT,34.321
ANIMAL FAT,39.004
OIL,61.924
OIL,14.9
OIL,19.7
OIL,18.8
OIL,16.9
OIL,15.65
OIL,82.475
OIL,13.808
OIL,49.3
OIL,14.2
OIL,10.1
OIL,8.637
OIL,59.7
OIL,25.9
OIL,10.3
OIL,6.203
OIL,7.541
OIL,81.5
OIL,13.5
OIL,19.7
OIL,21.1
OIL,9.6
OIL,12.948
OIL,9.1
OIL,8.2
OIL,6.3
OIL,15.005
OIL,7.4
OIL,81.2
OIL,46.6
OIL,53.2
OIL,18
OIL,13
OIL,90
OIL,85.2
OIL,11.56
OIL,7.365
OIL,11.582
OIL,9.859
OIL,19.62
OIL,22.608
OIL,21.29
OIL,30.427
OIL,95.6
OIL,19.872
OIL,29.892
OIL,9.009
OIL,7.615
OIL,7.758
OIL,10.117
OIL,86.002
OIL,17.683
OIL,15.34
OIL,18.101
OIL,24.75
OIL,15.341
OIL,25.883
OIL,87.558
OIL,93.701
OIL,92.614
OIL,86.503
OIL,88.965
OIL,93.536
OIL,71.444
OIL,88.209
OIL,28.421
OIL,6.511
OIL,5.025
OIL,4.63
OIL,8.637
OIL,10.884
OIL,12.086
OIL,10.042
OIL,12.086
OIL,6.787
OIL,15.084
OIL,14.853
OIL,93.966
OIL,93.608
OIL,9.047
OIL,7.7
OIL,14.49
OIL,10.926
OIL,14.74
OIL,8.976
OIL,8.026
OIL,14.367
VEGETABLE FAT,25
VEGETABLE FAT,16.7
VEGETABLE FAT,40.3
VEGETABLE FAT,22
VEGETABLE FAT,27.2
VEGETABLE FAT,35.7
VEGETABLE FAT,44.9
VEGETABLE FAT,91.3
VEGETABLE FAT,25.6
VEGETABLE FAT,47.5
VEGETABLE FAT,25.02
VEGETABLE FAT,21.1
VEGETABLE FAT,65.5
VEGETABLE FAT,14.198
VEGETABLE FAT,20.001
VEGETABLE FAT,28.843
VEGETABLE FAT,30.423
VEGETABLE FAT,7.238
VEGETABLE FAT,15.189
VEGETABLE FAT,14.224
VEGETABLE FAT,10.884
VEGETABLE FAT,12.086
VEGETABLE FAT,10.042
VEGETABLE FAT,24.98
VEGETABLE FAT,15.189
VEGETABLE FAT,14.224
VEGETABLE FAT,12.086
VEGETABLE FAT,0.416
VEGETABLE FAT,13.3
VEGETABLE FAT,7
VEGETABLE FAT,15.189
VEGETABLE FAT,13.631
VEGETABLE FAT,8.792
VEGETABLE FAT,2.128
VEGETABLE FAT,2.87
VEGETABLE FAT,2.87
VEGETABLE FAT,18.358
VEGETABLE FAT,22.869
VEGETABLE FAT,20.442
VEGETABLE FAT,17.416
VEGETABLE FAT,18.788
VEGETABLE FAT,16.321
VEGETABLE FAT,15.251
VEGETABLE FAT,7.429
VEGETABLE FAT,16.69
VEGETABLE FAT,10.087
VEGETABLE FAT,2.22
VEGETABLE FAT,0.31
VEGETABLE FAT,19.83
VEGETABLE FAT,16.688
VEGETABLE FAT,11.648
VEGETABLE FAT,4.77
VEGETABLE FAT,15.189
VEGETABLE FAT,14.224
VEGETABLE FAT,15.189
VEGETABLE FAT,5.37
VEGETABLE FAT,17.88
VEGETABLE FAT,8.35
VEGETABLE FAT,26.904
VEGETABLE FAT,16.669
VEGETABLE FAT,0.589
VEGETABLE FAT,3.3
VEGETABLE FAT,10.784
