Keyword,Name,Sugar_Tot_(g),Vit_C_(mg)
BEVERAGES,"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",9.62,0.9
BEVERAGES,"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C",38.83,2.1
BEVERAGES,"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",10.93,0.6
BEVERAGES,"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS",4.79,3.4
BEVERAGES,"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",,1.8
BEVERAGES,"APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS",10.74,4.9
BEVERAGES,"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS",,4
BEVERAGES,"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS",14.89,2.7
BEVERAGES,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS",19.87,3.1
BEVERAGES,"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",,2.8
BEVERAGES,"APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",,2.4
BEVERAGES,"APRICOT NECTAR,CND,WO/ VIT C",13.79,0.6
BEVERAGES,"BLACKBERRY JUC,CND",7.7,11.3
BEVERAGES,"BLACKBERRIES,CND,HVY SYRUP,SOL&LIQUIDS",19.7,2.8
BEVERAGES,"BLUEBERRIES,CND,HVY SYRUP,SOL&LIQUIDS",20.46,1.1
BEVERAGES,"BOYSENBERRIES,CND,HVY SYRUP",,6.2
BEVERAGES,"CHERRIES,SOUR,RED,CND,H2O PK,SOL&LIQUIDS (INCL USDA CMDTY)",7.6,2.1
BEVERAGES,"CHERRIES,SOUR,RED,CND,LT SYRUP PK,SOL&LIQUIDS",,2
BEVERAGES,"CHERRIES,SOUR,RED,CND,HVY SYRUP PK,SOL&LIQUIDS",22.17,2
BEVERAGES,"CHERRIES,SOUR,RED,CND,EX HVY SYRUP PK,SOL&LIQUIDS",,1.9
BEVERAGES,"CHERRIES,SOUR,RED,FRZ,UNSWTND",9.02,1.7
BEVERAGES,"CHERRIES,SWT,CND,H2O PK,SOL&LIQUIDS",10.26,2.2
BEVERAGES,"CHERRIES,SWT,CND,JUC PK,SOL&LIQUIDS",12.31,2.5
BEVERAGES,"CHERRIES,SWT,CND,LT SYRUP PK,SOL&LIQUIDS",15.79,3.7
BEVERAGES,"CHERRIES,SWT,CND,PITTED,HVY SYRUP PK,SOL & LIQUIDS",16.18,3.6
BEVERAGES,"CHERRIES,SWT,CND,EX HVY SYRUP PK,SOL&LIQUIDS",,3.6
BEVERAGES,"FIGS,CND,H2O PK,SOL&LIQUIDS",11.79,1
BEVERAGES,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS",16.15,1
BEVERAGES,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS",20.7,1
BEVERAGES,"FIGS,CND,EX HVY SYRUP PK,SOL&LIQUIDS",,1
BEVERAGES,"FRUIT COCKTAIL,CND,H2O PK,SOL&LIQUIDS",7.51,2.1
BEVERAGES,"FRUIT COCKTAIL,CND,JUC PK,SOL&LIQUIDS",10.86,2.7
BEVERAGES,"FRUIT COCKTAIL,CND,EX LT SYRUP,SOL&LIQUIDS",,3
BEVERAGES,"FRUIT COCKTAIL,CND,LT SYRUP,SOL&LIQUIDS",13.93,1.9
BEVERAGES,"FRUIT COCKTAIL,CND,HVY SYRUP,SOL&LIQUIDS",17.91,1.9
BEVERAGES,"FRUIT COCKTAIL,CND,EX HVY SYRUP,SOL&LIQUIDS",,1.9
BEVERAGES,"GOOSEBERRIES,CND,LT SYRUP PK,SOL&LIQUIDS",,10
BEVERAGES,"GRAPEFRUIT,SECTIONS,CND,H2O PK,SOL&LIQUIDS",8.75,21.8
BEVERAGES,"GRAPEFRUIT,SECTIONS,CND,JUC PK,SOL&LIQUIDS",8.8,33.9
BEVERAGES,"GRAPEFRUIT,SECTIONS,CND,LT SYRUP PK,SOL&LIQUIDS",15.04,21.3
BEVERAGES,"GRAPEFRUIT JUC,WHITE,CND OR BTLD,UNSWTND",7.2,28.3
BEVERAGES,"GRAPEFRUIT JUC,WHITE,CND,SWTND",11.03,26.9
BEVERAGES,"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,UNDIL",34.16,119.8
BEVERAGES,"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,DIL W/ 3 VOLUME H2O",9.63,33.7
BEVERAGES,"GRAPEFRUIT JUC,PINK OR RED,W/ ADDED CA",8.33,25
BEVERAGES,"GRAPEFRUIT JUC,WHITE,RAW",9.1,38
BEVERAGES,"GRAPE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",14.2,25
BEVERAGES,"GRAPES,CND,THOMPSON SEEDLESS,H2O PK,SOL&LIQUIDS",9.7,1
BEVERAGES,"GRAPES,CND,THOMPSON SEEDLESS,HVY SYRUP PK,SOL&LIQUIDS",19.05,1
BEVERAGES,"GRAPE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",14.2,0.1
BEVERAGES,"LEMON JUICE,RAW",2.52,38.7
BEVERAGES,"LEMON JUC FROM CONC,CND OR BTLD",1.53,14.3
BEVERAGES,"LEMON JUC,FRZ,UNSWTND,SINGLE STRENGTH",2.4,31.5
BEVERAGES,"LIME JUICE,RAW",1.69,30
BEVERAGES,"LIME JUC,CND OR BTLD,UNSWTND",1.37,6.4
BEVERAGES,"MANGOSTEEN,CND,SYRUP PK",,2.9
BEVERAGES,"ORANGE JUICE,RAW",8.4,50
BEVERAGES,"ORANGE JUC,CND,UNSWTND",8.76,30.1
BEVERAGES,"ORANGE JUC,CHILLED,INCL FROM CONC",8.31,33.6
BEVERAGES,"ORANGE JUC,CHILLED,INCL FROM CONC,W/ ADDED CA & VITAMIN D",8.31,33.6
BEVERAGES,"ORANGE JUC,CHILLED,INCL FROM CONC,W/ ADDED CA",8.31,33.6
BEVERAGES,"ORANGE JUC,FRZ CONC,UNSWTND,DIL W/ 3 VOLUME H2O,W/ ADDED CA",7.42,36.2
BEVERAGES,"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL,W/ ADDED CA",29.68,144.8
BEVERAGES,"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL",29.68,144.8
BEVERAGES,"ORANGE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",7.42,36.2
BEVERAGES,"ORANGE-GRAPEFRUIT JUC,CND OR BTLD,UNSWTND",10.18,29.1
BEVERAGES,"TANGERINES,(MANDARIN ORANGES),CND,JUC PK",8.87,34.2
BEVERAGES,"TANGERINES,(MANDARIN ORANGES),CND,LT SYRUP PK",15.49,19.8
BEVERAGES,"TANGERINE JUC,CND,SWTND",11.8,22
BEVERAGES,"PAPAYA,CND,HVY SYRUP,DRND",52.2,3.5
BEVERAGES,"PAPAYA NECTAR,CANNED",13.91,3
BEVERAGES,"PASSION-FRUIT JUC,PURPLE,RAW",13.4,29.8
BEVERAGES,"PASSION-FRUIT JUC,YEL,RAW",14.25,18.2
BEVERAGES,"PEACHES,CND,H2O PK,SOL&LIQUIDS",4.81,2.9
BEVERAGES,"PEACHES,CND,JUC PK,SOL&LIQUIDS",10.27,3.6
BEVERAGES,"PEACHES,CND,EX LT SYRUP,SOL&LIQUIDS",,3
BEVERAGES,"PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",13.25,2.4
BEVERAGES,"PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS",18.64,2.8
BEVERAGES,"PEACHES,CND,EX HVY SYRUP PK,SOL&LIQUIDS",,1.2
BEVERAGES,"PEACHES,SPICED,CND,HVY SYRUP PK,SOL&LIQUIDS",18.78,5.3
BEVERAGES,"PEACH NECTAR,CND,WO/ VIT C",13.32,5.3
BEVERAGES,"PEARS,CND,H2O PK,SOL&LIQUIDS",6.1,1
BEVERAGES,"PEARS,CND,JUC PK,SOL&LIQUIDS",9.7,1.6
BEVERAGES,"PEARS,CND,EX LT SYRUP PK,SOL&LIQUIDS",,2
BEVERAGES,"PEARS,CND,LT SYRUP PK,SOL&LIQUIDS",12.1,0.7
BEVERAGES,"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS",15.2,1.1
BEVERAGES,"PEARS,CND,EX HVY SYRUP PK,SOL&LIQUIDS",,1.1
BEVERAGES,"PEAR NECTAR,CND,WO/ VIT C",15.16,1.1
BEVERAGES,"PINEAPPLE,CND,H2O PK,SOL&LIQUIDS",7.5,7.7
BEVERAGES,"PINEAPPLE,CND,JUC PK,SOL&LIQUIDS",14.45,9.5
BEVERAGES,"PINEAPPLE,CND,LT SYRUP PK,SOL&LIQUIDS",12.65,7.5
BEVERAGES,"PINEAPPLE,CND,HVY SYRUP PK,SOL&LIQUIDS",16.9,7.4
BEVERAGES,"PINEAPPLE,CND,EX HVY SYRUP PK,SOL&LIQUIDS",,7.3
BEVERAGES,"PINEAPPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",9.98,10
BEVERAGES,"PINEAPPLE JUC,FRZ CONC,UNSWTND,UNDIL",43.6,42
BEVERAGES,"PINEAPPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",12.47,12
